,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
271,13443,5,7,1.0,0.0
272,15393,2,11,1.0,0.0
273,18482,2,11,1.0,0.0
274,14794,3,10,0.9090909090909091,0.0
275,8932,3,6,0.9,0.0
276,13293,3,8,0.9090909090909091,0.0
277,12226,4,10,1.0,0.0
278,10096,4,10,1.0,0.0
279,15708,3,11,1.0,0.0
280,9088,3,11,1.0,0.0
281,15966,1,11,0.9166666666666666,0.0
282,13967,4,10,1.0,0.0
283,10538,5,8,1.0,0.0
284,11829,5,9,1.0,0.0
285,8519,3,8,1.0,0.0
286,12963,3,8,0.9090909090909091,0.0
287,17526,4,7,1.0,0.0
288,13495,5,7,1.0,0.0
289,7332,3,10,1.0,0.0
290,16868,4,8,0.8,0.0
291,10389,3,8,1.0,0.0
292,14678,2,5,0.9166666666666666,0.0
293,12423,5,6,0.8888888888888888,0.0
294,15254,1,10,1.0,0.0
295,10264,3,11,1.0,0.0
296,12994,3,6,1.0,0.0
297,17537,4,5,0.7142857142857143,0.0
298,8980,5,9,1.0,0.0
299,17686,3,5,0.9,0.0
300,16716,2,12,1.0,0.0
301,15768,2,11,0.9166666666666666,0.0
302,12542,4,10,1.0,0.0
303,12499,3,7,0.9090909090909091,0.0
304,14612,3,8,1.0,0.0
305,17331,2,11,0.9166666666666666,0.0
306,11350,3,11,1.0,0.0
307,12898,4,8,1.0,0.0
308,13585,4,10,1.0,0.0
309,11887,5,5,1.0,0.0
310,9985,3,10,0.9090909090909091,0.0
311,12647,3,8,1.0,0.0
312,11183,7,7,1.0,0.0
313,13141,4,10,1.0,0.0
314,6561,4,7,1.0,0.0
315,11656,3,10,0.9090909090909091,0.0
316,9391,2,4,0.8333333333333334,0.0
317,10136,5,9,1.0,0.0
318,14175,3,11,1.0,0.0
319,16999,4,8,0.8,0.0
320,7538,3,9,1.0,0.0
321,8320,2,7,1.0,0.0
322,18966,3,9,0.9,0.0
323,15220,2,5,0.9,0.0
324,11696,3,11,1.0,0.0
325,14798,5,7,0.875,0.0
326,14792,3,8,0.9090909090909091,0.0
327,10670,2,10,0.8333333333333334,0.0
328,8329,2,9,0.9,0.0
329,8860,5,9,1.0,0.0
330,15622,2,6,0.9166666666666666,0.0
331,18292,4,10,1.0,0.0
332,12629,3,11,1.0,0.0
333,13475,2,12,1.0,0.0
334,14253,4,8,1.0,0.0
335,12093,1,13,1.0,0.0
336,13704,2,12,1.0,0.0
337,13791,3,11,1.0,0.0
338,12846,2,12,1.0,0.0
339,17864,2,12,1.0,0.0
340,8096,3,11,1.0,0.0
341,12588,2,9,1.0,0.0
